blue_win,blue_kills,blue_deaths,blue_assists,blue_kda,red_kills,red_deaths,red_assists,red_kda,blue_Tank,red_Tank,blue_Mage,red_Mage,blue_Assassin,red_Assassin,blue_Marksman,red_Marksman,blue_Support,red_Support,blue_Fighter,red_Fighter,rank_score_red,rank_score_blue
1,35,40,40,1.875,40,35,44,2.4,296412,0,296412,645552,550824,63010,436718,1123621,0,244656,353754,63010,32.5,25.0
1,43,41,59,2.4878048780487805,40,43,70,2.558139534883721,218355,410382,0,0,472374,687187,852786,0,598767,734653,378036,861084,34.0,35.75
0,31,43,59,2.0930232558139537,43,31,85,4.129032258064516,172592,769393,294219,287555,597448,0,299710,262160,172592,287555,591957,769393,32.6,34.666666666666664
1,25,16,51,4.75,16,25,25,1.64,205455,171990,140764,342241,288490,421125,251728,390295,140764,130741,205455,171990,40.0,36.0
1,34,31,62,3.096774193548387,31,34,61,2.7058823529411766,0,0,784520,407550,485440,197775,550997,437775,475443,350515,243520,350965,37.333333333333336,36.8
0,20,39,38,1.4871794871794872,39,21,61,4.761904761904762,0,286416,320919,134602,356846,309332,196800,775216,141635,388746,177562,286416,34.0,31.0
1,33,34,55,2.588235294117647,34,33,30,1.9393939393939394,290275,0,347414,170198,0,647045,241536,594447,137774,132002,290275,354798,33.6,32.0
1,20,2,22,21.0,2,20,2,0.2,261975,51534,86218,83116,0,38992,50058,120643,36160,33384,261975,51534,34.4,35.0
1,25,9,25,5.555555555555555,9,26,8,0.6538461538461539,161709,70170,47403,70160,168288,0,50580,0,47403,46467,279417,140330,33.4,34.0
0,28,39,52,2.051282051282051,39,28,82,4.321428571428571,0,0,597270,753463,211020,0,321156,261296,110136,212745,346230,547406,37.6,40.0
0,18,43,24,0.9767441860465116,43,18,75,6.555555555555555,246912,341082,339108,214455,205050,591855,205050,0,160818,214455,246912,627906,36.0,34.666666666666664
1,37,29,60,3.3448275862068964,29,37,32,1.6486486486486487,0,0,244496,848334,170142,399990,170142,246368,244496,142038,0,604542,37.6,35.0
1,42,34,74,3.411764705882353,34,42,55,2.119047619047619,0,0,460396,247104,540138,400695,790410,202935,172858,133120,287538,444864,34.0,39.2
1,42,39,78,3.076923076923077,39,42,47,2.0476190476190474,0,488756,200985,586587,1413135,0,660339,220125,200985,0,348822,855218,35.0,38.0
1,36,33,64,3.0303030303030303,33,36,53,2.388888888888889,0,134316,484287,414015,195765,410600,200265,410600,142337,213120,0,335211,37.0,36.0
1,51,40,79,3.25,40,51,55,1.8627450980392157,0,630297,0,181552,962037,0,917171,0,0,0,302498,811849,30.5,20.5
0,4,20,4,0.4,20,4,31,12.75,0,0,113245,202695,61720,165655,61720,143126,90586,37040,22659,91520,36.8,34.4
1,53,18,80,7.388888888888889,18,53,23,0.7735849056603774,0,0,297959,208290,284648,584234,284648,213360,177744,83226,0,501008,36.0,33.6
1,33,30,47,2.6666666666666665,30,33,36,2.0,246384,325272,217530,164836,471534,327845,0,146055,354966,164836,246384,325272,32.0,37.0
0,28,38,40,1.7894736842105263,38,28,76,4.071428571428571,231426,235568,178206,319887,460332,0,135694,337516,0,460378,377858,432593,36.0,34.0
1,28,7,32,8.571428571428571,7,28,9,0.5714285714285714,140162,0,0,115118,48897,65330,169872,61804,48897,75072,140162,0,35.6,36.0
1,20,12,28,4.0,12,20,19,1.55,0,0,0,163695,182014,204049,85701,90893,85701,148120,0,0,38.0,39.0
1,37,30,68,3.5,30,37,46,2.054054054054054,252784,115524,203640,214815,499472,321366,254368,145470,133276,357812,701528,297440,37.333333333333336,38.0
0,19,29,29,1.6551724137931034,29,19,53,4.315789473684211,112596,92422,206594,139438,147186,513002,89584,137904,67260,0,259782,465986,33.75,38.666666666666664
0,20,24,29,2.0416666666666665,24,20,53,3.85,373146,283492,256714,327087,0,164262,0,165354,256714,327087,373146,447754,36.8,36.0
0,9,21,8,0.8095238095238095,21,9,24,5.0,48852,93467,67210,158298,118403,71110,49563,0,67210,229408,48852,93467,36.4,33.75
1,22,18,24,2.5555555555555554,18,22,33,2.3181818181818183,363474,0,413784,137358,0,243840,243632,243840,413784,353553,363474,216195,33.2,33.8
1,39,24,72,4.625,24,39,22,1.1794871794871795,0,83391,402102,341894,638693,204345,288609,342419,307430,0,239856,493416,35.2,33.0
