blue_win,blue_kills,blue_deaths,blue_assists,blue_kda,red_kills,red_deaths,red_assists,red_kda,blue_Tank,red_Tank,blue_Mage,red_Mage,blue_Assassin,red_Assassin,blue_Marksman,red_Marksman,blue_Support,red_Support,blue_Fighter,red_Fighter,rank_score_red,rank_score_blue
1,34,18,73,5.944444444444445,18,34,33,1.5,111648,91982,165592,67020,210885,258567,0,115944,0,67020,488125,91982,36.8,36.8
0,25,30,41,2.2,30,25,55,3.4,0,334315,0,0,565790,618567,0,454837,65710,0,565790,334315,35.2,33.4
0,10,31,11,0.6774193548387096,31,10,41,7.2,0,144001,130010,180824,199117,91817,174427,0,64910,272641,134017,144001,37.6,35.4
0,32,40,44,1.9,40,32,70,3.4375,200190,0,0,645513,732672,632592,572142,340974,0,599308,200190,840991,39.2,36.0
1,35,27,69,3.8518518518518516,27,35,39,1.8857142857142857,0,116400,331074,237792,362484,486679,601988,343494,505696,237792,174622,603079,36.0,38.4
1,21,5,23,8.8,5,21,3,0.38095238095238093,0,92102,38664,72950,69500,36776,0,73024,38664,0,152198,92102,19.0,28.0
0,21,43,33,1.255813953488372,43,21,47,4.285714285714286,0,543412,510832,616867,411000,0,833846,284733,169246,331488,0,543412,40.0,38.4
0,26,41,46,1.7560975609756098,41,26,71,4.3076923076923075,0,0,428869,426118,147602,249376,143507,141908,285362,426118,147602,249376,36.8,37.6
1,25,9,24,5.444444444444445,9,25,11,0.8,162129,51858,132850,71960,0,68040,66530,64780,66320,33632,162129,153530,36.0,39.2
1,40,28,48,3.142857142857143,28,40,44,1.8,258384,0,0,350889,365872,331996,206760,164906,113664,350889,510592,331996,38.4,37.6
1,42,31,64,3.4193548387096775,30,42,43,1.7380952380952381,119076,0,283458,333410,0,173138,541264,196110,402534,304578,0,310080,38.4,39.2
1,40,14,68,7.714285714285714,14,40,16,0.75,458516,159519,0,205440,171430,133016,198255,244340,0,0,458516,159519,35.2,36.0
1,41,21,87,6.095238095238095,21,41,33,1.3170731707317074,260096,326049,302736,164514,0,205665,205620,347196,163086,0,423182,490563,35.2,36.8
0,17,37,19,0.972972972972973,37,17,51,5.176470588235294,253226,0,0,413955,207645,610717,418605,199380,85492,358758,167734,466534,38.4,40.0
0,19,40,25,1.1,40,19,54,4.947368421052632,72220,136422,415966,176260,243248,486142,144092,521686,0,0,172718,339582,35.2,36.8
1,35,23,71,4.608695652173913,23,35,44,1.9142857142857144,430185,146237,389700,0,0,375126,195330,376221,389700,314241,430185,346727,38.4,38.4
1,42,24,58,4.166666666666667,23,42,30,1.2619047619047619,171080,0,456119,119484,285039,596688,542414,147667,0,119484,0,436444,37.6,38.4
0,9,19,18,1.4210526315789473,19,9,21,4.444444444444445,69350,0,176838,137750,68230,195749,141710,34640,35728,34640,69350,333499,38.4,36.8
1,28,21,41,3.2857142857142856,21,28,27,1.7142857142857142,284268,168308,145223,72620,0,162114,298843,72620,110220,0,174048,280220,35.2,38.4
0,11,30,9,0.6666666666666666,30,12,41,5.916666666666667,165922,240578,0,0,104424,130520,67170,216133,62470,158163,103452,168028,36.0,33.2
0,18,29,37,1.896551724137931,29,18,49,4.333333333333333,181436,51750,162820,0,161770,175028,86229,317040,313809,0,278446,51750,36.8,34.4
0,1,15,3,0.26666666666666666,15,1,20,35.0,73200,0,81279,180046,0,252842,73800,64260,81279,48816,73200,185872,36.0,33.4
0,28,34,37,1.911764705882353,34,28,43,2.75,226687,214500,352730,163912,139048,387099,205440,505899,147290,118800,365735,378412,36.8,36.8
1,15,8,20,4.375,8,15,7,1.0,62370,0,154941,154986,63960,49950,62570,47889,47637,0,126330,105036,37.6,36.8
1,32,16,34,4.125,16,32,26,1.3125,202560,131313,130169,205721,229472,136851,0,110424,0,68870,347497,131313,36.8,37.6
1,36,13,65,7.769230769230769,13,36,15,0.7777777777777778,64870,136791,374202,106260,0,211032,248698,174592,182938,69820,142974,136791,35.2,35.2
0,30,43,45,1.744186046511628,43,30,63,3.533333333333333,104640,0,391194,0,0,389924,341049,242816,0,147108,495834,0,38.4,37.4
1,25,19,40,3.4210526315789473,19,25,26,1.8,0,52479,67960,281151,168742,0,262561,111360,67960,146562,168742,187068,37.6,36.8
0,13,19,14,1.4210526315789473,19,13,33,4.0,117912,0,0,271258,181610,135967,137020,129948,63110,66760,117912,135967,36.8,35.0
1,42,24,51,3.875,24,42,32,1.3333333333333333,207480,112824,254208,105444,178682,311529,139555,317199,254208,275236,386162,276946,38.4,37.6
0,13,26,19,1.2307692307692308,26,13,39,5.0,0,438926,111096,0,0,0,248807,0,177566,103500,66470,335426,38.4,36.8
1,27,13,34,4.6923076923076925,13,27,14,1.0,395191,64090,298792,148447,0,230352,172676,111804,116736,212537,395191,112740,36.0,34.4
0,10,19,7,0.8947368421052632,19,11,29,4.363636363636363,218087,139113,183286,152651,0,292260,66100,267881,183286,0,218087,251613,34.4,36.8
1,38,25,78,4.64,25,38,41,1.736842105263158,295511,146978,262400,309043,304453,309043,566853,475609,196305,0,491816,146978,35.2,35.2
1,37,31,59,3.096774193548387,31,37,50,2.189189189189189,0,257371,298796,211815,198585,211815,363225,105756,117804,0,0,257371,37.6,36.0
1,23,12,32,4.583333333333333,11,23,9,0.8695652173913043,135110,54036,102582,51228,131710,51228,131710,99108,39112,33328,71640,54036,34.4,36.0
1,43,33,70,3.4242424242424243,33,43,54,2.0232558139534884,0,208230,495601,350190,0,502336,945778,262368,203235,558420,0,0,36.0,35.2
0,8,27,9,0.6296296296296297,27,8,40,8.375,104952,0,106308,208422,0,106968,137760,0,0,208422,211260,106968,36.8,37.6
0,35,41,54,2.1707317073170733,41,35,75,3.3142857142857145,0,287878,341370,0,548323,362376,253760,352440,516356,0,723309,650254,36.0,34.8
1,45,26,70,4.423076923076923,26,45,48,1.6444444444444444,162386,115740,214380,0,550959,682251,0,173656,214380,0,713345,797991,35.0,34.4
0,28,48,40,1.4166666666666667,48,28,56,3.7142857142857144,262416,175476,433448,287232,203805,398178,261792,338004,172648,0,466221,860886,34.4,35.0
0,21,38,34,1.4473684210526316,38,21,57,4.523809523809524,178996,110796,0,242768,140374,0,417716,449925,65260,242768,113736,110796,36.8,34.4
0,27,31,49,2.4516129032258065,31,27,56,3.2222222222222223,69560,111528,295781,331940,407836,210630,135005,141258,0,275846,137644,210630,36.8,32.8
0,10,29,15,0.8620689655172413,29,10,46,7.5,71170,84634,294982,307137,206850,209100,218676,244896,71170,255700,88132,209100,38.4,35.2
1,37,23,64,4.391304347826087,23,37,40,1.7027027027027026,215445,145522,671845,240224,0,0,238288,163702,382250,240224,505040,145522,36.8,36.0
1,31,26,57,3.3846153846153846,26,31,63,2.870967741935484,118896,92862,0,345833,247248,168154,208665,513987,0,92862,0,0,34.4,34.4
1,41,16,56,6.0625,16,41,39,1.3414634146341464,257072,276004,316896,141375,140725,0,140725,0,135512,0,257072,168616,36.8,36.0
0,15,23,25,1.7391304347826086,23,15,32,3.6666666666666665,146510,0,0,111924,257650,247216,114468,357904,0,111924,289692,0,35.2,33.6
1,46,24,44,3.75,23,46,38,1.326086956521739,109404,169162,0,199866,347376,0,347226,259996,0,82555,317004,283690,34.4,34.2
0,19,37,30,1.3243243243243243,37,19,49,4.526315789473684,87406,0,145912,201495,142051,208725,177520,144638,145912,144638,87406,208725,34.0,33.4
1,30,13,46,5.846153846153846,13,30,22,1.1666666666666667,198255,203825,243952,137358,235744,137358,235744,113712,104436,0,337771,203825,33.6,34.2
0,12,25,12,0.96,25,12,28,4.416666666666667,70110,0,160090,133257,46692,224904,0,64670,22337,90731,169569,117708,33.4,33.2
1,22,10,30,5.2,10,23,14,1.0434782608695652,154235,118792,83996,0,0,89287,0,111368,149516,34928,88715,173151,32.4,33.6
1,35,21,67,4.857142857142857,20,35,39,1.6857142857142857,208860,207090,452526,114264,0,199050,203310,345621,141050,114264,390266,406140,35.0,34.4
0,8,32,16,0.75,32,8,62,11.75,186751,0,173380,287526,0,166432,118608,327950,173380,287526,186751,0,37.6,33.4
0,5,18,7,0.6666666666666666,18,5,16,6.8,0,132652,179971,206376,160253,238302,63420,276102,91168,37680,71450,132652,38.4,34.2
0,7,16,6,0.8125,16,7,20,5.142857142857143,89452,152289,0,40248,49878,0,96210,94023,27692,0,61760,152289,36.0,36.8
0,27,30,39,2.2,30,27,54,3.111111111111111,107496,244592,168322,334264,0,200580,294080,166684,275818,334264,168392,445172,34.4,35.2
0,14,25,20,1.36,25,14,35,4.285714285714286,116508,0,139802,415185,280780,662641,172228,387336,0,116292,364862,116292,33.4,36.0
1,44,46,65,2.369565217391304,46,44,75,2.75,363366,0,385254,702486,561430,650490,700236,802242,176176,332748,727524,248496,35.2,37.2
1,42,32,71,3.53125,32,42,49,1.9285714285714286,0,397570,418332,262592,0,284529,760592,486249,161420,0,0,397570,34.4,34.4
1,34,19,45,4.157894736842105,18,34,42,1.7647058823529411,0,0,170212,364760,399885,140049,330872,118644,93181,224711,93181,118644,34.4,31.4
0,16,30,17,1.1,30,16,49,4.9375,131703,132769,186188,207495,113748,216705,302394,379513,72440,0,0,556969,35.2,35.2
0,21,23,39,2.608695652173913,23,21,45,3.238095238095238,384192,595083,565638,727020,351108,0,255264,772704,0,351648,598722,595083,34.4,31.8
0,12,26,19,1.1923076923076923,26,12,24,4.166666666666667,225156,0,111864,401928,89386,240176,194578,373439,0,268665,113292,0,33.0,32.0
1,46,26,68,4.384615384615385,26,46,51,1.673913043478261,174538,413990,286841,218460,541537,201465,294865,179886,0,398346,421210,615455,34.8,36.8
1,26,27,32,2.1481481481481484,27,26,42,2.6538461538461537,514841,174916,199875,242801,161686,379799,138528,174104,53478,242801,423174,380611,37.6,35.0
1,33,28,46,2.8214285714285716,28,34,38,1.9411764705882353,460578,104256,436564,314301,299387,175154,180740,585539,255824,210045,759965,208350,35.2,34.0
1,23,24,34,2.375,24,23,41,2.8260869565217392,197835,0,213713,86614,295977,140829,259804,230244,83622,86614,197835,256509,36.8,38.4
1,30,9,44,8.222222222222221,9,30,10,0.6333333333333333,47808,0,90574,64470,138333,133752,362733,64470,90574,0,164268,133752,38.4,38.4
1,13,11,19,2.909090909090909,11,13,13,1.8461538461538463,54324,0,104286,102474,38776,120894,109142,67587,33536,18420,93100,65370,36.8,38.4
1,40,22,53,4.2272727272727275,22,40,33,1.375,0,0,0,282164,498807,344736,502912,396157,147589,107136,363754,428780,33.4,34.6
1,32,25,39,2.84,25,33,40,1.9696969696969697,209610,102996,460646,339511,181874,404400,166320,133666,0,0,209610,505836,33.6,36.8
