blue_win,blue_kills,blue_deaths,blue_assists,blue_kda,red_kills,red_deaths,red_assists,red_kda,blue_Tank,red_Tank,blue_Mage,red_Mage,blue_Assassin,red_Assassin,blue_Marksman,red_Marksman,blue_Support,red_Support,blue_Fighter,red_Fighter,rank_score_red,rank_score_blue
1,63,44,60,2.7954545454545454,44,64,45,1.390625,0,0,202380,440333,0,240720,0,258560,202380,140062,0,240720,25.333333333333332,22.5
0,22,43,47,1.6046511627906976,42,22,46,4.0,337772,198330,480624,331902,243088,0,203055,0,0,331902,442526,507305,37.0,34.666666666666664
1,27,29,36,2.1724137931034484,29,27,46,2.7777777777777777,308184,306318,165816,409170,201240,204840,132795,133380,0,310578,675240,200070,34.0,35.75
1,29,34,65,2.764705882352941,34,29,62,3.310344827586207,0,507020,563894,538936,295018,596598,244000,0,807894,246944,295018,507020,33.333333333333336,37.0
0,30,34,56,2.5294117647058822,34,30,40,2.466666666666667,0,0,174496,625449,0,0,0,626918,174496,0,0,981309,34.2,35.0
1,25,19,43,3.5789473684210527,19,25,25,1.76,135564,139581,258481,212393,0,170702,198855,261166,362713,69900,135564,282074,35.0,34.333333333333336
1,35,23,51,3.739130434782609,23,35,30,1.5142857142857142,378767,0,317776,343676,239744,362934,411426,144768,146094,107436,378767,215280,37.333333333333336,34.0
1,32,21,48,3.8095238095238093,21,32,44,2.03125,0,0,217560,565472,503483,0,237312,172620,148629,390080,363639,0,37.0,36.0
1,15,5,27,8.4,5,15,1,0.4,159737,85151,124914,89972,0,83149,71090,52767,38608,27762,246043,230510,33.4,34.0
0,15,33,27,1.2727272727272727,33,15,70,6.866666666666666,200393,195330,0,136305,171500,422010,0,376100,0,136305,371893,408120,39.2,38.4
0,23,35,29,1.4857142857142858,35,23,53,3.8260869565217392,0,365920,113412,0,619573,291210,237600,291210,113412,0,178528,365920,39.0,39.0
0,13,23,19,1.391304347826087,23,13,37,4.615384615384615,219828,86614,208367,167328,113484,453107,113484,211875,69410,0,358785,495174,36.8,38.0
0,30,37,44,2.0,36,30,74,3.6666666666666665,375552,0,666544,366696,617436,977172,359082,741456,218160,216060,1082290,302617,35.0,36.0
1,1,0,3,4.0,0,1,0,0.0,0,0,18122,9684,9956,11588,3204,0,12078,9684,12796,11588,35.0,39.2
0,24,43,28,1.2093023255813953,43,24,57,4.166666666666667,0,216435,0,682266,144079,0,170086,245824,64290,303127,170086,349750,35.2,35.0
0,25,45,37,1.3777777777777778,45,25,65,4.4,0,92114,235562,0,141505,0,244327,242832,222055,0,147914,334946,35.2,34.666666666666664
1,32,19,42,3.8947368421052633,19,32,34,1.65625,90794,130741,0,168812,212760,263462,0,107244,0,168812,303554,311593,29.75,29.5
0,5,21,3,0.38095238095238093,21,5,29,10.0,107731,68310,103698,90508,38192,62220,88709,62220,79347,34272,81565,193090,30.75,24.666666666666668
1,27,19,57,4.421052631578948,19,27,43,2.2962962962962963,238848,494736,290445,246656,621555,0,547380,143572,0,390228,238848,494736,39.0,37.0
1,41,25,63,4.16,25,41,37,1.5121951219512195,0,131807,119160,0,439464,170030,202920,431366,0,86460,355704,302173,36.0,40.0
0,23,40,50,1.825,40,23,66,4.608695652173913,388192,446527,148109,0,0,216210,148109,246912,0,108684,388192,771421,33.4,35.0
0,18,33,20,1.1515151515151516,33,18,53,4.777777777777778,196999,0,168560,516873,0,0,257660,145379,0,317088,196999,199785,39.0,38.0
1,24,13,46,5.384615384615385,13,24,24,1.5416666666666667,196440,107004,291086,65510,374212,131664,118884,0,84986,65510,364552,238668,36.6,37.0
1,29,23,54,3.608695652173913,23,30,37,2.0,378936,285311,403956,462964,403956,253024,245536,238160,0,409268,378936,830191,34.2,35.6
0,29,37,49,2.108108108108108,37,29,76,3.896551724137931,198750,363511,313007,213600,130741,422340,0,0,182266,145756,198750,426495,35.8,33.4
0,34,33,55,2.696969696969697,33,34,61,2.764705882352941,0,0,447461,438860,0,304130,255824,0,200085,292519,0,304130,36.0,37.0
1,25,22,41,3.0,22,25,31,2.12,176582,0,295263,138580,450501,116832,92928,255412,0,67300,424748,0,34.5,33.4
0,15,41,26,1.0,41,15,60,6.733333333333333,191699,224181,130793,243985,0,0,65380,224436,196173,0,191699,161588,35.333333333333336,34.0
1,46,34,70,3.411764705882353,34,46,52,1.8695652173913044,476196,0,0,474701,386316,572732,0,242656,179704,160412,862512,439411,37.2,34.666666666666664
1,34,18,49,4.611111111111111,18,34,39,1.6764705882352942,362012,0,417952,260368,406560,512037,0,371581,254096,116328,604716,171752,37.6,36.8
1,34,15,51,5.666666666666667,15,35,21,1.0285714285714285,317499,0,219750,274209,219750,209805,388148,137176,0,136968,317499,209805,37.0,34.25
1,34,21,47,3.857142857142857,21,34,35,1.6470588235294117,0,0,379276,283060,91575,337470,414615,235674,91575,67280,336546,160370,36.8,38.0
0,20,33,35,1.6666666666666667,33,20,37,3.5,341026,240848,108828,732777,165354,133250,0,170632,108828,133250,341026,545777,33.333333333333336,33.5
1,24,8,26,6.25,8,24,13,0.875,80865,39504,109716,103256,201599,0,161503,63410,28035,156266,52830,92514,40.0,37.333333333333336
1,0,0,0,0.0,0,0,0,0.0,61,0,185,185,0,185,0,0,0,0,61,0,37.6,36.0
1,48,26,55,3.9615384615384617,26,48,40,1.375,0,85811,145535,109188,0,109188,164290,226620,289011,0,289011,85811,36.0,35.333333333333336
0,21,22,34,2.5,22,21,31,2.5238095238095237,140608,293937,140608,215055,0,161504,110928,146029,0,0,0,455441,34.0,38.0
1,40,32,77,3.65625,32,40,49,2.025,379979,195765,301665,281060,201540,395426,503205,0,0,114552,379979,757699,36.0,35.0
0,17,23,26,1.8695652173913044,23,17,47,4.117647058823529,0,261168,318456,641613,0,0,164976,237056,302048,404557,181384,261168,34.5,35.0
0,9,19,11,1.0526315789473684,19,9,24,4.777777777777778,80520,0,111321,48609,0,233215,96624,0,52155,48609,67155,160965,35.75,36.0
1,25,21,54,3.761904761904762,21,25,33,2.16,0,91839,205200,381513,382314,471328,341264,473840,164150,0,0,470840,32.8,31.5
0,18,31,21,1.2580645161290323,31,18,44,4.166666666666667,0,142454,396405,103884,196155,453483,177226,426960,83875,103884,331459,379622,36.8,38.666666666666664
1,36,38,58,2.473684210526316,38,36,71,3.0277777777777777,0,627318,785376,380214,534699,396270,367506,410652,0,619110,952569,784692,34.0,35.75
0,31,42,57,2.0952380952380953,42,31,84,4.064516129032258,357804,309604,305558,565386,612765,388908,604350,282608,297143,499658,357804,1046848,38.666666666666664,35.75
1,31,39,67,2.5128205128205128,39,31,47,2.774193548387097,143052,304022,253152,214110,0,0,691503,163422,0,214110,143052,304022,37.333333333333336,38.0
1,31,33,54,2.5757575757575757,33,31,81,3.6774193548387095,104856,177128,332982,573483,0,165116,419070,165116,0,378048,437838,177128,39.2,36.0
0,23,28,35,2.0714285714285716,28,23,64,4.0,474731,371556,613632,466693,310352,334602,0,644325,303280,214485,474731,623764,37.6,38.0
0,15,28,22,1.3214285714285714,28,16,53,5.0625,0,0,335126,280364,514672,0,0,215055,335126,495419,514672,0,36.0,37.333333333333336
1,38,29,74,3.8620689655172415,28,38,53,2.1315789473684212,0,0,482554,283475,591328,346320,291040,343687,182266,428022,0,0,33.75,30.333333333333332
